train_loss,train_acc,test_loss,test_acc
0.42977550275447385,0.7951981544698103,0.35634847875880044,0.8401088348271466
0.38989639036788143,0.8171604971196933,0.3410668479190438,0.8513124199743943
0.36289582875699633,0.8325354704501855,0.317366743042931,0.8615757042253549
0.33847802917802666,0.8449101237465456,0.3149291656758738,0.8652768886043577
0.3158001316071881,0.8590983038190854,0.3194415192626577,0.8605753841229234
0.29259531193732563,0.869912790697692,0.3239289523482742,0.8632562419974424
0.2690392779649349,0.8815273629187301,0.33626950280824364,0.8592549615877103
0.24671285992982256,0.8937486665244493,0.3546035555066126,0.8547135083226662
0.22515858354848492,0.9049498613185628,0.37811101242785367,0.8491517285531378
0.20542799447789667,0.9142375186686819,0.3891764919293834,0.848311459667096
